prob_0,prob_1,real
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,2.55071081677e-35,0
1.0,0.0,0
1.0,1.83833388795e-38,0
1.0,0.0,0
1.0,4.84457106942e-21,0
1.0,0.0,0
1.0,0.0,0
1.0,3.77069695436e-36,0
1.0,5.6356353231e-24,0
1.0,0.0,0
1.0,0.0,0
1.0,4.3817671172e-36,0
1.0,0.0,0
1.0,3.92460597914e-18,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,3.2713990151e-32,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,1.22632421054e-38,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,5.79475623042e-09,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,5.17686671309e-10,0
1.0,1.17861427813e-33,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,4.79983565914e-13,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,1.35080653904e-21,0
1.0,3.12592272596e-28,0
1.0,8.13999324056e-17,0
1.0,0.0,0
1.0,0.0,0
1.0,1.99906330958e-18,0
0.999999880791,6.61679919745e-08,0
1.0,0.0,0
1.0,0.0,0
1.0,1.31178423679e-09,0
1.0,0.0,0
1.0,0.0,0
1.0,3.24324005152e-11,0
1.0,0.0,0
1.0,5.72007176868e-13,0
1.0,0.0,0
1.0,0.0,0
1.0,0.0,0
1.0,1.55133897762e-28,0
1.0,0.0,0
1.0,0.0,0
1.0,9.11923262981e-20,0
1.0,0.0,0
1.0,0.0,0
1.0,9.23890848336e-36,0
1.0,0.0,0
0.999998688698,1.26553618429e-06,0
1.0,0.0,0
1.0,0.0,0
1.0,1.72662183515e-35,0
1.0,1.56046239665e-27,0
1.0,0.0,0
1.0,0.0,0
1.0,2.76590482345e-31,0
1.0,0.0,0
1.0,2.89170075577e-28,0
1.0,0.0,0
